𛂙	No.No
𛂚	No.No
𛂛	No.No
𛂜	No.No
𛂝	No.No
𛂞	Ha.Ha
𛂟	Ha.Ha
𛂠	Ha.Ha
𛂡	Ha.Ha
𛂢	Ha.Ha
𛂣	Ha.Ha
𛂤	Ha.Ha
𛂥	Ha.Ha
𛂦	Ha.Ha
𛂧	Ha.Ha
𛂨	Ha.Ha
𛂩	Hi.Hi
𛂪	Hi.Hi
𛂫	Hi.Hi
𛂬	Hi.Hi
𛂭	Hi.Hi
𛂮	Hi.Hi
𛂯	Hi.Hi
𛂰	Hu.Hu
𛂱	Hu.Hu
𛂲	Hu.Hu
𛂳	He.He
𛂴	He.He
𛂵	He.He
𛂶	He.He
𛂷	He.He
𛂸	He.He
𛂹	He.He
𛂺	Ho.Ho
𛂻	Ho.Ho
𛂼	Ho.Ho
𛂽	Ho.Ho
𛂾	Ho.Ho
𛂿	Ho.Ho
𛃀	Ho.Ho
𛃁	Ho.Ho
𛃂	Ma.Ma
𛃃	Ma.Ma
𛃄	Ma.Ma
𛃅	Ma.Ma
𛃆	Ma.Ma
𛃇	Ma.Ma
𛃈	Ma.Ma
𛃖	Ma.Ma
𛃉	Mi.Mi
𛃊	Mi.Mi
𛃋	Mi.Mi
𛃌	Mi.Mi
𛃍	Mi.Mi
𛃎	Mi.Mi
𛃏	Mi.Mi
𛃐	Mu.Mu
𛃑	Mu.Mu
𛃒	Mu.Mu
𛃓	Mu.Mu
𛄝	Mu.Mu
𛄞	Mu.Mu
𛃔	Me.Me
𛃕	Me.Me
𛃖	Me.Me
𛃗	Mo.Mo
𛃘	Mo.Mo
𛃙	Mo.Mo
𛃚	Mo.Mo
𛃛	Mo.Mo
𛃜	Mo.Mo
𛄝	Mo.Mo
𛄞	Mo.Mo
𛃝	Ya.Ya
𛃞	Ya.Ya
𛃟	Ya.Ya
𛃠	Ya.Ya
𛃡	Ya.Ya
𛃢	Ya.Ya
𛀆	Yi.Yi
𛃣	Yu.Yu
𛃤	Yu.Yu
𛃥	Yu.Yu
𛃦	Yu.Yu
𛀁	Ye.Ye
𛃧	Yo.Yo
𛃨	Yo.Yo
𛃩	Yo.Yo
𛃪	Yo.Yo
𛃫	Yo.Yo
𛃬	Yo.Yo
𛃢	Yo.Yo
𛃭	Ra.Ra
𛃮	Ra.Ra
𛃯	Ra.Ra
𛃰	Ra.Ra
𛁽	Ra.Ra
𛃱	Ri.Ri
𛃲	Ri.Ri
𛃳	Ri.Ri
𛃴	Ri.Ri
𛃵	Ri.Ri
